timestamp,document_url,document_hash,question,answer,response_time_ms,endpoint_type,cache_used,chunk_count,confidence_score
2025-08-09T13:17:26.838977,https://hackrx.blob.core.windows.net/assets/Arogya%20Sanjeevani%20Policy%20-%20CIN%20-%20U10200WB1906GOI001713%201.pdf?sv=2023-01-03&st=2025-07-21T08%3A29%3A02Z&se=2025-09-22T08%3A29%3A00Z&sr=b&sp=r&sig=nzrz1K9Iurt%2BBXom%2FB%2BMPTFMFP3PRnIvEsipAX10Ig4%3D,646c7d83f1f5e666da0a1b42567eacfc,"When will my root canal claim of Rs 25,000 be settled?","Your root canal claim of Rs 25,000 will be settled within 45 days from the date of receipt of the last necessary document.",4894.1,standard,TRUE,98,
2025-08-09T13:17:26.842008,https://hackrx.blob.core.windows.net/assets/Arogya%20Sanjeevani%20Policy%20-%20CIN%20-%20U10200WB1906GOI001713%201.pdf?sv=2023-01-03&st=2025-07-21T08%3A29%3A02Z&se=2025-09-22T08%3A29%3A00Z&sr=b&sp=r&sig=nzrz1K9Iurt%2BBXom%2FB%2BMPTFMFP3PRnIvEsipAX10Ig4%3D,646c7d83f1f5e666da0a1b42567eacfc,"I have done an IVF for Rs 56,000. Is it covered?","No, IVF is not covered under the Arogya Sanjeevani Policy.",4894.1,standard,TRUE,98,
2025-08-09T13:17:26.844015,https://hackrx.blob.core.windows.net/assets/Arogya%20Sanjeevani%20Policy%20-%20CIN%20-%20U10200WB1906GOI001713%201.pdf?sv=2023-01-03&st=2025-07-21T08%3A29%3A02Z&se=2025-09-22T08%3A29%3A00Z&sr=b&sp=r&sig=nzrz1K9Iurt%2BBXom%2FB%2BMPTFMFP3PRnIvEsipAX10Ig4%3D,646c7d83f1f5e666da0a1b42567eacfc,"I did a cataract treatment of Rs 100,000. Will you settle the full Rs 100,000?","No, the insurance will not settle the full Rs 100,000. The maximum amount covered for cataract treatment is 25% of the Sum Insured or INR 40,000 per eye, whichever is lower.",4894.1,standard,TRUE,98,
2025-08-09T13:17:26.846011,https://hackrx.blob.core.windows.net/assets/Arogya%20Sanjeevani%20Policy%20-%20CIN%20-%20U10200WB1906GOI001713%201.pdf?sv=2023-01-03&st=2025-07-21T08%3A29%3A02Z&se=2025-09-22T08%3A29%3A00Z&sr=b&sp=r&sig=nzrz1K9Iurt%2BBXom%2FB%2BMPTFMFP3PRnIvEsipAX10Ig4%3D,646c7d83f1f5e666da0a1b42567eacfc,Give me a list of documents to be uploaded for hospitalization for heart surgery.,"The document does not provide a specific list of documents to be uploaded for hospitalization for heart surgery. However, it does mention that expenses incurred on road Ambulance subject to a maximum of Rs 2,000 per hospitalization are covered.",4894.1,standard,TRUE,98,
2025-08-09T13:17:37.626139,https://hackrx.blob.core.windows.net/assets/Arogya%20Sanjeevani%20Policy%20-%20CIN%20-%20U10200WB1906GOI001713%201.pdf?sv=2023-01-03&st=2025-07-21T08%3A29%3A02Z&se=2025-09-22T08%3A29%3A00Z&sr=b&sp=r&sig=nzrz1K9Iurt%2BBXom%2FB%2BMPTFMFP3PRnIvEsipAX10Ig4%3D,646c7d83f1f5e666da0a1b42567eacfc,"I have raised a claim for hospitalization for Rs 200,000 with HDFC, and it's approved. My total expenses are Rs 250,000. Can I raise the remaining Rs 50,000 with you?","No, you cannot raise the remaining Rs 50,000 with us. The document specifies that expenses of hospitalization for a minimum period of 24 consecutive hours only shall be admissible. Since your claim is already approved for Rs 200,000, which is the maximum admissible amount for a single hospitalization, you cannot claim the additional Rs 50,000.",3389.15,standard,TRUE,98,
2025-08-09T13:17:45.701066,https://hackrx.blob.core.windows.net/assets/Super_Splendor_(Feb_2023).pdf?sv=2023-01-03&st=2025-07-21T08%3A10%3A00Z&se=2025-09-22T08%3A10%3A00Z&sr=b&sp=r&sig=vhHrl63YtrEOCsAy%2BpVKr20b3ZUo5HMz1lF9%2BJh6LQ0%3D,7d6275b2a1c5f2f675248d4ddf7aec25,What is the ideal spark plug gap recommeded,The ideal spark plug gap is recommended to be 0.8-0.9 mm.,3988.24,standard,TRUE,147,
2025-08-09T13:17:45.705274,https://hackrx.blob.core.windows.net/assets/Super_Splendor_(Feb_2023).pdf?sv=2023-01-03&st=2025-07-21T08%3A10%3A00Z&se=2025-09-22T08%3A10%3A00Z&sr=b&sp=r&sig=vhHrl63YtrEOCsAy%2BpVKr20b3ZUo5HMz1lF9%2BJh6LQ0%3D,7d6275b2a1c5f2f675248d4ddf7aec25,Does this comes in tubeless tyre version,"Yes, the tyres fitted on your vehicle are of the tubeless type.",3988.24,standard,TRUE,147,
2025-08-09T13:17:45.706266,https://hackrx.blob.core.windows.net/assets/Super_Splendor_(Feb_2023).pdf?sv=2023-01-03&st=2025-07-21T08%3A10%3A00Z&se=2025-09-22T08%3A10%3A00Z&sr=b&sp=r&sig=vhHrl63YtrEOCsAy%2BpVKr20b3ZUo5HMz1lF9%2BJh6LQ0%3D,7d6275b2a1c5f2f675248d4ddf7aec25,Is it compulsoury to have a disc brake,"No, it is not compulsory to have a disc brake.",3988.24,standard,TRUE,147,
2025-08-09T13:17:45.709293,https://hackrx.blob.core.windows.net/assets/Super_Splendor_(Feb_2023).pdf?sv=2023-01-03&st=2025-07-21T08%3A10%3A00Z&se=2025-09-22T08%3A10%3A00Z&sr=b&sp=r&sig=vhHrl63YtrEOCsAy%2BpVKr20b3ZUo5HMz1lF9%2BJh6LQ0%3D,7d6275b2a1c5f2f675248d4ddf7aec25,Can I put thums up instead of oil,"No, you cannot put thumbs up instead of oil. The document explicitly states that engine oil is a major factor affecting the performance and service life of the engine. It also specifies the recommended oil grade and capacity.",3988.24,standard,TRUE,147,
2025-08-09T13:17:45.710281,https://hackrx.blob.core.windows.net/assets/Super_Splendor_(Feb_2023).pdf?sv=2023-01-03&st=2025-07-21T08%3A10%3A00Z&se=2025-09-22T08%3A10%3A00Z&sr=b&sp=r&sig=vhHrl63YtrEOCsAy%2BpVKr20b3ZUo5HMz1lF9%2BJh6LQ0%3D,7d6275b2a1c5f2f675248d4ddf7aec25,Give me JS code to generate a random number between 1 and 100,Here is a simple JavaScript code snippet to generate a random number between 1 and 100:,3988.24,standard,TRUE,147,
